qacver	saccver	bitscore	evalue	qlen	slen	length	qcovs	pident	taxid	protein	species	a	b	c	d	e	f	g	h	I	j	k	l	m	n	o	p
WP_002854338.1	BAW29883.1	83.4	1.25E-12	820	601	279	32	20.789	2210	putative conserved hypothetical protein [Methanosarcina thermophila]	Methanosarcina thermophila	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina								
WP_002854338.1	RNJ70866.1	80.3	2.27E-12	820	325	300	35	19	2483801	tetratricopeptide repeat protein [Leptolyngbya sp. IPPAS B-1204]	Leptolyngbya sp. IPPAS B-1204	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Synechococcales	Leptolyngbyaceae	Leptolyngbya								
WP_002854338.1	WP_125485903.1	83	2.31E-12	820	885	683	81	17.716	570835	tetratricopeptide repeat protein [Edaphobacter aggregans]	Edaphobacter aggregans	cellular organisms	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter									
WP_002854338.1	WP_083856054.1	83	2.36E-12	820	1007	660	71	15.152	445220	tetratricopeptide repeat protein [Reyranella massiliensis]	Reyranella massiliensis	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	unclassified Rhodospirillales	Reyranella									
WP_002854338.1	WP_083856054.1	64.2	1.47E-06	820	1007	283	71	20.495	445220	tetratricopeptide repeat protein [Reyranella massiliensis]	Reyranella massiliensis	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	unclassified Rhodospirillales	Reyranella									
WP_002854338.1	WP_083856054.1	56.1	0.000481	820	1007	365	71	14.795	445220	tetratricopeptide repeat protein [Reyranella massiliensis]	Reyranella massiliensis	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	unclassified Rhodospirillales	Reyranella									
WP_002854338.1	WP_094530507.1	81.9	2.97E-12	820	516	500	53	16.2	1980935	tetratricopeptide repeat protein [Pseudanabaena sp. SR411]	Pseudanabaena sp. SR411	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Synechococcales	Pseudanabaenaceae	Pseudanabaena								
WP_002854338.1	WP_052735492.1	82.3	3.06E-12	820	692	311	37	20.579	2209	tetratricopeptide repeat protein [Methanosarcina mazei]	Methanosarcina mazei	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina								
WP_002854338.1	TET23346.1	81.9	3.34E-12	820	591	230	49	23.478	2528828	tetratricopeptide repeat protein [bacterium (Candidatus Stahlbacteria)]	bacterium (Candidatus Stahlbacteria)	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)												
WP_002854338.1	TET23346.1	74.9	5.06E-10	820	591	274	49	21.533	2528828	tetratricopeptide repeat protein [bacterium (Candidatus Stahlbacteria)]	bacterium (Candidatus Stahlbacteria)	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)												
WP_002854338.1	TET23346.1	60.7	1.18E-05	820	591	338	49	16.272	2528828	tetratricopeptide repeat protein [bacterium (Candidatus Stahlbacteria)]	bacterium (Candidatus Stahlbacteria)	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)												
WP_002854338.1	TET23346.1	58.4	6.99E-05	820	591	244	49	17.623	2528828	tetratricopeptide repeat protein [bacterium (Candidatus Stahlbacteria)]	bacterium (Candidatus Stahlbacteria)	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)												
WP_002854338.1	RKY74382.1	81.5	3.71E-12	820	563	375	45	18.133	2172550	hypothetical protein DRQ00_11865 [candidate division KSB1 bacterium]	candidate division KSB1 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB1	unclassified candidate division KSB1										
WP_002854338.1	ODS40035.1	81.9	4.75E-12	820	829	443	50	18.962	1849365	hypothetical protein A7315_09850 [Candidatus Altiarchaeales archaeon WOR_SM1_79]	Candidatus Altiarchaeales archaeon WOR_SM1_79	cellular organisms	Archaea	DPANN group	Candidatus Altiarchaeota	Candidatus Altiarchaeales	unclassified Candidatus Altiarchaeales										
WP_002854338.1	WP_103980246.1	80.7	5.44E-12	820	497	456	52	20.614	1496	tetratricopeptide repeat protein [Clostridioides difficile]	Clostridioides difficile	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides								
WP_002854338.1	RDJ38520.1	81.9	5.48E-12	820	1320	426	81	21.127	2056631	tetratricopeptide repeat protein [Crenarchaeota archaeon]	Crenarchaeota archaeon	cellular organisms	Archaea	TACK group	Crenarchaeota	unclassified Crenarchaeota	unclassified Crenarchaeota (miscellaneous)										
WP_002854338.1	RDJ38520.1	72.6	4.11E-09	820	1320	687	81	16.885	2056631	tetratricopeptide repeat protein [Crenarchaeota archaeon]	Crenarchaeota archaeon	cellular organisms	Archaea	TACK group	Crenarchaeota	unclassified Crenarchaeota	unclassified Crenarchaeota (miscellaneous)										
WP_002854338.1	WP_018592115.1	80.7	5.89E-12	820	497	456	52	20.614	36841	tetratricopeptide repeat protein [Terrisporobacter glycolicus]	Terrisporobacter glycolicus	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter								
WP_002854338.1	RKX69396.1	80.7	6.5E-12	820	522	291	34	17.869	2052148	hypothetical protein DRP53_08305 [candidate division WOR-3 bacterium]	candidate division WOR-3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division WOR-3											
WP_002854338.1	RKX69396.1	54.9	0.000868	820	522	182	34	21.978	2052148	hypothetical protein DRP53_08305 [candidate division WOR-3 bacterium]	candidate division WOR-3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division WOR-3											
WP_002854338.1	OMJ86090.1	81.1	7.77E-12	820	994	619	71	16.963	5963	hypothetical protein SteCoe_12446 [Stentor coeruleus]	Stentor coeruleus	cellular organisms	Eukaryota	Alveolata	Ciliophora	Postciliodesmatophora	Heterotrichea	Heterotrichida	Stentoridae	Stentor							
WP_002854338.1	GBE32100.1	80.7	8.21E-12	820	593	448	51	19.196	2005715;2005728	TPR repeat-containing protein YrrB [bacterium BMS3Bbin05]	bacterium BMS3Bbin05	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)												
WP_002854338.1	WP_069731683.1	80.7	8.98E-12	820	719	667	74	16.642	1287055	tetratricopeptide repeat protein [Brachyspira hampsonii]	Brachyspira hampsonii	cellular organisms	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira									
WP_002854338.1	WP_096737645.1	80.7	9.3E-12	820	802	470	50	17.66	1358104	tetratricopeptide repeat protein [Brachyspira sp. G79]	Brachyspira sp. G79	cellular organisms	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira									
WP_002854338.1	CDC19860.1	80.3	9.39E-12	820	572	386	45	17.358	1262794	tPR repeat-containing protein [Clostridium sp. CAG:306]	Clostridium sp. CAG:306	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	environmental samples							
WP_002854338.1	WP_109234940.1	80	9.95E-12	820	467	414	49	17.391	784;1359184	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia								
WP_002854338.1	WP_109234940.1	54.9	0.000694	820	467	356	49	16.854	784;1359184	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia								
WP_002854338.1	WP_048158853.1	81.1	1E-11	820	1780	698	81	16.762	1434103	tetratricopeptide repeat protein [Methanosarcina sp. WWM596]	Methanosarcina sp. WWM596	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina								
WP_002854338.1	WP_048158853.1	62.2	6.02E-06	820	1780	438	81	15.525	1434103	tetratricopeptide repeat protein [Methanosarcina sp. WWM596]	Methanosarcina sp. WWM596	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina								
WP_002854338.1	WP_048158853.1	58.8	8.28E-05	820	1780	411	81	17.032	1434103	tetratricopeptide repeat protein [Methanosarcina sp. WWM596]	Methanosarcina sp. WWM596	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina								
WP_002854338.1	OGW48710.1	80.7	1.09E-11	820	769	651	75	18.433	1801709	hypothetical protein A2Z50_01765 [Nitrospirae bacterium RBG_19FT_COMBO_42_15]	Nitrospirae bacterium RBG_19FT_COMBO_42_15	cellular organisms	Bacteria	Nitrospirae	unclassified Nitrospirae												
WP_002854338.1	XP_002681344.1	80.3	1.24E-11	820	820	407	46	19.41	5762;744533	hypothetical protein NAEGRDRAFT_63280 [Naegleria gruberi strain NEG-M]	Naegleria gruberi strain NEG-M	cellular organisms	Eukaryota	Heterolobosea	Schizopyrenida	Vahlkampfiidae	Naegleria	Naegleria gruberi									
WP_002854338.1	PYV80534.1	80.3	1.44E-11	820	837	680	81	17.794	1978231	hypothetical protein DMG96_00345 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)											
WP_002854338.1	RSL17411.1	80.3	1.48E-11	820	846	680	81	17.647	570835	Tfp pilus assembly protein PilF [Edaphobacter aggregans]	Edaphobacter aggregans	cellular organisms	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter									
WP_002854338.1	XP_014699566.1	80.7	1.48E-11	820	2004	481	80	18.919	9793	PREDICTED: tetratricopeptide repeat protein 6 [Equus asinus]	Equus asinus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda
WP_002854338.1	XP_014699566.1	56.8	0.000327	820	2004	518	80	17.568	9793	PREDICTED: tetratricopeptide repeat protein 6 [Equus asinus]	Equus asinus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda
WP_002854338.1	PYV62545.1	80.3	1.5E-11	820	1071	396	47	18.434	1978231	hypothetical protein DMG97_40185, partial [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)											
WP_002854338.1	OQX56807.1	79.6	1.66E-11	820	563	375	45	18.133	1968530	hypothetical protein B5M50_06800 [candidate division KSB1 bacterium 4484_219]	candidate division KSB1 bacterium 4484_219	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB1	unclassified candidate division KSB1										
WP_002854338.1	RKY79368.1	79.6	1.87E-11	820	563	375	45	18.133	2172550	hypothetical protein DRQ12_03965 [candidate division KSB1 bacterium]	candidate division KSB1 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB1	unclassified candidate division KSB1										
WP_002854338.1	PYU57459.1	80	2.09E-11	820	851	438	52	19.635	1978231	hypothetical protein DMG55_19950 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)											
WP_002854338.1	WP_026364316.1	79.6	2.1E-11	820	748	644	72	17.081	13264	tetratricopeptide repeat protein [Brachyspira innocens]	Brachyspira innocens	cellular organisms	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira									
WP_002854338.1	XP_023478581.1	80.3	2.11E-11	820	1980	481	80	18.919	9796	tetratricopeptide repeat protein 6 [Equus caballus]	Equus caballus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda
WP_002854338.1	XP_023478581.1	58.4	9.07E-05	820	1980	518	80	17.761	9796	tetratricopeptide repeat protein 6 [Equus caballus]	Equus caballus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda
WP_002854338.1	OGL40491.1	80	2.23E-11	820	932	541	82	16.821	1817877;1817881;1817882;1817883	hypothetical protein A2043_07925 [Candidatus Schekmanbacteria bacterium GWA2_38_9]	Candidatus Schekmanbacteria bacterium GWA2_38_9	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria											
WP_002854338.1	OGL40491.1	78.8	4.42E-11	820	932	755	82	16.821	1817877;1817881;1817882;1817883	hypothetical protein A2043_07925 [Candidatus Schekmanbacteria bacterium GWA2_38_9]	Candidatus Schekmanbacteria bacterium GWA2_38_9	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria											
WP_002854338.1	OGL40491.1	66.5	2.68E-07	820	932	686	82	15.743	1817877;1817881;1817882;1817883	hypothetical protein A2043_07925 [Candidatus Schekmanbacteria bacterium GWA2_38_9]	Candidatus Schekmanbacteria bacterium GWA2_38_9	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria											
WP_002854338.1	RKY84414.1	78.8	3.24E-11	820	563	375	45	17.867	2172550	hypothetical protein DRP98_05005 [candidate division KSB1 bacterium]	candidate division KSB1 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB1	unclassified candidate division KSB1										
WP_002854338.1	PYU81819.1	79.2	3.27E-11	820	851	443	53	19.413	1978231	hypothetical protein DMG50_14480 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)											
WP_002854338.1	RKY92367.1	78.4	3.76E-11	820	563	375	45	18.133	2172550	hypothetical protein DRQ15_02505 [candidate division KSB1 bacterium]	candidate division KSB1 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB1	unclassified candidate division KSB1										
WP_002854338.1	WP_048126768.1	79.2	3.91E-11	820	1780	698	81	16.762	1434102	tetratricopeptide repeat protein [Methanosarcina sp. WH1]	Methanosarcina sp. WH1	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina								
WP_002854338.1	WP_048126768.1	62.2	6.07E-06	820	1780	438	81	15.525	1434102	tetratricopeptide repeat protein [Methanosarcina sp. WH1]	Methanosarcina sp. WH1	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina								
WP_002854338.1	WP_048126768.1	59.5	4.42E-05	820	1780	411	81	17.032	1434102	tetratricopeptide repeat protein [Methanosarcina sp. WH1]	Methanosarcina sp. WH1	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina								
