taxid	protein	species	1	2	3	4	5	6	7	8																									
44941	hypothetical protein C2G38_2216909 [Gigaspora rosea]	Gigaspora rosea	cellular organisms	Eukaryota	Opisthokonta	Fungi	Fungi incertae sedis	Mucoromycota	Glomeromycotina	Glomeromycetes	Diversisporales	Gigasporaceae	Gigaspora																						
44941	hypothetical protein C2G38_2216909 [Gigaspora rosea]	Gigaspora rosea	cellular organisms	Eukaryota	Opisthokonta	Fungi	Fungi incertae sedis	Mucoromycota	Glomeromycotina	Glomeromycetes	Diversisporales	Gigasporaceae	Gigaspora																						
44941	hypothetical protein C2G38_2216909 [Gigaspora rosea]	Gigaspora rosea	cellular organisms	Eukaryota	Opisthokonta	Fungi	Fungi incertae sedis	Mucoromycota	Glomeromycotina	Glomeromycetes	Diversisporales	Gigasporaceae	Gigaspora																						
1151	tetratricopeptide repeat protein [Oscillatoriales cyanobacterium]	Oscillatoriales cyanobacterium	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	unclassified Oscillatoriales	unclassified Oscillatoriales (miscellaneous)																								
1974049	hypothetical protein COV67_14775 [Nitrospinae bacterium CG11_big_fil_rev_8_21_14_0_20_56_8]	Nitrospinae bacterium CG11_big_fil_rev_8_21_14_0_20_56_8	cellular organisms	Bacteria	Nitrospinae/Tectomicrobia group	Nitrospinae	unclassified Nitrospinae																												
1974049	hypothetical protein COV67_14775 [Nitrospinae bacterium CG11_big_fil_rev_8_21_14_0_20_56_8]	Nitrospinae bacterium CG11_big_fil_rev_8_21_14_0_20_56_8	cellular organisms	Bacteria	Nitrospinae/Tectomicrobia group	Nitrospinae	unclassified Nitrospinae																												
36841	tetratricopeptide repeat protein [Terrisporobacter glycolicus]	Terrisporobacter glycolicus	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter																									
2035409	TPR repeat-containing protein YrrB [bacterium HR14]	bacterium HR14	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																													
1661583	Flp pilus assembly protein TadD, contains TPR repeats [Armatimonadetes bacterium DC]	Armatimonadetes bacterium DC	cellular organisms	Bacteria	Terrabacteria group	Armatimonadetes	unclassified Armatimonadetes																												
1661583	Flp pilus assembly protein TadD, contains TPR repeats [Armatimonadetes bacterium DC]	Armatimonadetes bacterium DC	cellular organisms	Bacteria	Terrabacteria group	Armatimonadetes	unclassified Armatimonadetes																												
2024844	tetratricopeptide repeat protein [Nitrospina sp.]	Nitrospina sp.	cellular organisms	Bacteria	Nitrospinae/Tectomicrobia group	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina																									
1661580	Flp pilus assembly protein TadD, contains TPR repeats [Armatimonadetes bacterium GBS]	Armatimonadetes bacterium GBS	cellular organisms	Bacteria	Terrabacteria group	Armatimonadetes	unclassified Armatimonadetes																												
2210	putative conserved hypothetical protein [Methanosarcina thermophila]	Methanosarcina thermophila	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																									
2483801	tetratricopeptide repeat protein [Leptolyngbya sp. IPPAS B-1204]	Leptolyngbya sp. IPPAS B-1204	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Synechococcales	Leptolyngbyaceae	Leptolyngbya																									
570835	tetratricopeptide repeat protein [Edaphobacter aggregans]	Edaphobacter aggregans	cellular organisms	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter																										
445220	tetratricopeptide repeat protein [Reyranella massiliensis]	Reyranella massiliensis	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	unclassified Rhodospirillales	Reyranella																										
445220	tetratricopeptide repeat protein [Reyranella massiliensis]	Reyranella massiliensis	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	unclassified Rhodospirillales	Reyranella																										
445220	tetratricopeptide repeat protein [Reyranella massiliensis]	Reyranella massiliensis	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	unclassified Rhodospirillales	Reyranella																										
1980935	tetratricopeptide repeat protein [Pseudanabaena sp. SR411]	Pseudanabaena sp. SR411	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Synechococcales	Pseudanabaenaceae	Pseudanabaena																									
2209	tetratricopeptide repeat protein [Methanosarcina mazei]	Methanosarcina mazei	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																									
2528828	tetratricopeptide repeat protein [bacterium (Candidatus Stahlbacteria)]	bacterium (Candidatus Stahlbacteria)	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																													
2528828	tetratricopeptide repeat protein [bacterium (Candidatus Stahlbacteria)]	bacterium (Candidatus Stahlbacteria)	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																													
2528828	tetratricopeptide repeat protein [bacterium (Candidatus Stahlbacteria)]	bacterium (Candidatus Stahlbacteria)	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																													
2528828	tetratricopeptide repeat protein [bacterium (Candidatus Stahlbacteria)]	bacterium (Candidatus Stahlbacteria)	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																													
2172550	hypothetical protein DRQ00_11865 [candidate division KSB1 bacterium]	candidate division KSB1 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB1	unclassified candidate division KSB1																											
1849365	hypothetical protein A7315_09850 [Candidatus Altiarchaeales archaeon WOR_SM1_79]	Candidatus Altiarchaeales archaeon WOR_SM1_79	cellular organisms	Archaea	DPANN group	Candidatus Altiarchaeota	Candidatus Altiarchaeales	unclassified Candidatus Altiarchaeales																											
1496	tetratricopeptide repeat protein [Clostridioides difficile]	Clostridioides difficile	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides																									
2056631	tetratricopeptide repeat protein [Crenarchaeota archaeon]	Crenarchaeota archaeon	cellular organisms	Archaea	TACK group	Crenarchaeota	unclassified Crenarchaeota	unclassified Crenarchaeota (miscellaneous)																											
2056631	tetratricopeptide repeat protein [Crenarchaeota archaeon]	Crenarchaeota archaeon	cellular organisms	Archaea	TACK group	Crenarchaeota	unclassified Crenarchaeota	unclassified Crenarchaeota (miscellaneous)																											
36841	tetratricopeptide repeat protein [Terrisporobacter glycolicus]	Terrisporobacter glycolicus	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter																									
2052148	hypothetical protein DRP53_08305 [candidate division WOR-3 bacterium]	candidate division WOR-3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division WOR-3																												
2052148	hypothetical protein DRP53_08305 [candidate division WOR-3 bacterium]	candidate division WOR-3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division WOR-3																												
5963	hypothetical protein SteCoe_12446 [Stentor coeruleus]	Stentor coeruleus	cellular organisms	Eukaryota	Alveolata	Ciliophora	Postciliodesmatophora	Heterotrichea	Heterotrichida	Stentoridae	Stentor																								
2005728	TPR repeat-containing protein YrrB [bacterium BMS3Bbin05]	bacterium BMS3Bbin05	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																													
1287055	tetratricopeptide repeat protein [Brachyspira hampsonii]	Brachyspira hampsonii	cellular organisms	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira																										
1358104	tetratricopeptide repeat protein [Brachyspira sp. G79]	Brachyspira sp. G79	cellular organisms	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira																										
1262794	tPR repeat-containing protein [Clostridium sp. CAG:306]	Clostridium sp. CAG:306	cellular organisms	Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	environmental samples																								
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
1434103	tetratricopeptide repeat protein [Methanosarcina sp. WWM596]	Methanosarcina sp. WWM596	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																									
1434103	tetratricopeptide repeat protein [Methanosarcina sp. WWM596]	Methanosarcina sp. WWM596	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																									
1434103	tetratricopeptide repeat protein [Methanosarcina sp. WWM596]	Methanosarcina sp. WWM596	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																									
1801709	hypothetical protein A2Z50_01765 [Nitrospirae bacterium RBG_19FT_COMBO_42_15]	Nitrospirae bacterium RBG_19FT_COMBO_42_15	cellular organisms	Bacteria	Nitrospirae	unclassified Nitrospirae																													
744533	hypothetical protein NAEGRDRAFT_63280 [Naegleria gruberi strain NEG-M]	Naegleria gruberi strain NEG-M	cellular organisms	Eukaryota	Heterolobosea	Schizopyrenida	Vahlkampfiidae	Naegleria	Naegleria gruberi																										
1978231	hypothetical protein DMG96_00345 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
570835	Tfp pilus assembly protein PilF [Edaphobacter aggregans]	Edaphobacter aggregans	cellular organisms	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter																										
9793	PREDICTED: tetratricopeptide repeat protein 6 [Equus asinus]	Equus asinus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Laurasiatheria	Perissodactyla	Equidae	Equus	Asinus							
9793	PREDICTED: tetratricopeptide repeat protein 6 [Equus asinus]	Equus asinus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Laurasiatheria	Perissodactyla	Equidae	Equus	Asinus							
1978231	hypothetical protein DMG97_40185, partial [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
1968530	hypothetical protein B5M50_06800 [candidate division KSB1 bacterium 4484_219]	candidate division KSB1 bacterium 4484_219	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB1	unclassified candidate division KSB1																											
2172550	hypothetical protein DRQ12_03965 [candidate division KSB1 bacterium]	candidate division KSB1 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB1	unclassified candidate division KSB1																											
1978231	hypothetical protein DMG55_19950 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
13264	tetratricopeptide repeat protein [Brachyspira innocens]	Brachyspira innocens	cellular organisms	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira																										
9796	tetratricopeptide repeat protein 6 [Equus caballus]	Equus caballus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus							
9796	tetratricopeptide repeat protein 6 [Equus caballus]	Equus caballus	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Bilateria	Deuterostomia	Chordata	Craniata	Vertebrata	Gnathostomata	Teleostomi	Euteleostomi	Sarcopterygii	Dipnotetrapodomorpha	Tetrapoda	Amniota	Mammalia	Theria	Eutheria	Boreoeutheria	Laurasiatheria	Perissodactyla	Equidae	Equus	Equus							
1817877	hypothetical protein A2043_07925 [Candidatus Schekmanbacteria bacterium GWA2_38_9]	Candidatus Schekmanbacteria bacterium GWA2_38_9	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria																												
1817877	hypothetical protein A2043_07925 [Candidatus Schekmanbacteria bacterium GWA2_38_9]	Candidatus Schekmanbacteria bacterium GWA2_38_9	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria																												
1817877	hypothetical protein A2043_07925 [Candidatus Schekmanbacteria bacterium GWA2_38_9]	Candidatus Schekmanbacteria bacterium GWA2_38_9	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Schekmanbacteria																												
2172550	hypothetical protein DRP98_05005 [candidate division KSB1 bacterium]	candidate division KSB1 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB1	unclassified candidate division KSB1																											
1978231	hypothetical protein DMG50_14480 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
2172550	hypothetical protein DRQ15_02505 [candidate division KSB1 bacterium]	candidate division KSB1 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB1	unclassified candidate division KSB1																											
1434102	tetratricopeptide repeat protein [Methanosarcina sp. WH1]	Methanosarcina sp. WH1	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																									
1434102	tetratricopeptide repeat protein [Methanosarcina sp. WH1]	Methanosarcina sp. WH1	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																									
1434102	tetratricopeptide repeat protein [Methanosarcina sp. WH1]	Methanosarcina sp. WH1	cellular organisms	Archaea	Euryarchaeota	Stenosarchaea group	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina																									
1916319	TPA: hypothetical protein CPT85_08600 [Candidatus Gastranaerophilales bacterium HUM_21]	Candidatus Gastranaerophilales bacterium HUM_21	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Candidatus Melainabacteria	Candidatus Gastranaerophilales																											
784	TPR repeat-containing protein 03 [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
784	TPR repeat-containing protein 03 [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
1978231	hypothetical protein DMG56_11745 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
2035411	Beta-barrel assembly-enhancing protease [bacterium HR16]	bacterium HR16	cellular organisms	Bacteria	unclassified Bacteria	unclassified Bacteria (miscellaneous)																													
1126	serine protease [Microcystis aeruginosa]	Microcystis aeruginosa	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Chroococcales	Microcystaceae	Microcystis																								
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
784	tetratricopeptide repeat protein [Orientia tsutsugamushi]	Orientia tsutsugamushi	cellular organisms	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsieae	Orientia																									
1978231	hypothetical protein DMG52_14005 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
1985174	tetratricopeptide repeat protein [Chitinophagaceae bacterium IBVUCB2]	Chitinophagaceae bacterium IBVUCB2	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	unclassified Chitinophagaceae																								
1978231	hypothetical protein DMG53_02945 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
1978231	hypothetical protein DMG54_26630 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
1962856	tetratricopeptide repeat protein [Caldithrix sp.]	Caldithrix sp.	cellular organisms	Bacteria	Calditrichaeota	Calditrichae	Calditrichales	Calditrichaceae	Caldithrix																										
1962856	tetratricopeptide repeat protein [Caldithrix sp.]	Caldithrix sp.	cellular organisms	Bacteria	Calditrichaeota	Calditrichae	Calditrichales	Calditrichaceae	Caldithrix																										
1962856	tetratricopeptide repeat protein [Caldithrix sp.]	Caldithrix sp.	cellular organisms	Bacteria	Calditrichaeota	Calditrichae	Calditrichales	Calditrichaceae	Caldithrix																										
1962856	tetratricopeptide repeat protein [Caldithrix sp.]	Caldithrix sp.	cellular organisms	Bacteria	Calditrichaeota	Calditrichae	Calditrichales	Calditrichaceae	Caldithrix																										
1962856	tetratricopeptide repeat protein [Caldithrix sp.]	Caldithrix sp.	cellular organisms	Bacteria	Calditrichaeota	Calditrichae	Calditrichales	Calditrichaceae	Caldithrix																										
1797802	hypothetical protein A2Z91_07390 [Deltaproteobacteria bacterium GWA2_38_16]	Deltaproteobacteria bacterium GWA2_38_16	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)																										
1126	serine protease [Microcystis aeruginosa]	Microcystis aeruginosa	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Chroococcales	Microcystaceae	Microcystis																								
1126	serine protease [Microcystis aeruginosa]	Microcystis aeruginosa	cellular organisms	Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Oscillatoriophycideae	Chroococcales	Microcystaceae	Microcystis																								
1978231	hypothetical protein DMF51_03380 [Acidobacteria bacterium]	Acidobacteria bacterium	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
1803430	hypothetical protein AUG09_05260 [Acidobacteria bacterium 13_1_20CM_2_68_7]	Acidobacteria bacterium 13_1_20CM_2_68_7	cellular organisms	Bacteria	Acidobacteria	unclassified Acidobacteria	unclassified Acidobacteria (miscellaneous)																												
2026724	peptidase S1, partial [Chloroflexi bacterium]	Chloroflexi bacterium	cellular organisms	Bacteria	Terrabacteria group	Chloroflexi	unclassified Chloroflexi	unclassified Chloroflexi (miscellaneous)																											
2026724	peptidase S1, partial [Chloroflexi bacterium]	Chloroflexi bacterium	cellular organisms	Bacteria	Terrabacteria group	Chloroflexi	unclassified Chloroflexi	unclassified Chloroflexi (miscellaneous)																											
159	tetratricopeptide repeat protein [Brachyspira hyodysenteriae]	Brachyspira hyodysenteriae	cellular organisms	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira																										
1267535	tetratricopeptide repeat protein [Acidobacteriaceae bacterium KBS 96]	Acidobacteriaceae bacterium KBS 96	cellular organisms	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	unclassified Acidobacteriaceae																										
159	tetratricopeptide repeat protein [Brachyspira hyodysenteriae]	Brachyspira hyodysenteriae	cellular organisms	Bacteria	Spirochaetes	Spirochaetia	Brachyspirales	Brachyspiraceae	Brachyspira																										
45351	predicted protein [Nematostella vectensis]	Nematostella vectensis	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Cnidaria	Anthozoa	Hexacorallia	Actiniaria	Edwardsiidae	Nematostella																						
45351	predicted protein [Nematostella vectensis]	Nematostella vectensis	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Cnidaria	Anthozoa	Hexacorallia	Actiniaria	Edwardsiidae	Nematostella																						
45351	predicted protein [Nematostella vectensis]	Nematostella vectensis	cellular organisms	Eukaryota	Opisthokonta	Metazoa	Eumetazoa	Cnidaria	Anthozoa	Hexacorallia	Actiniaria	Edwardsiidae	Nematostella																						
1869298	hypothetical protein BA861_01840 [Desulfobacterales bacterium S3730MH5]	Desulfobacterales bacterium S3730MH5	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfobacterales	unclassified Desulfobacterales																										
