taxid	protein	species	1	2	3	4	5	6	7	8																											
132132	tetratricopeptide repeat protein [Desulfomicrobium orale]	Desulfomicrobium orale	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium																											
2030807	hypothetical protein DRZ78_01175 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	hypothetical protein DRZ78_01175 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	hypothetical protein DRZ78_01175 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	hypothetical protein DRZ78_01175 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	hypothetical protein DRZ78_01175 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	hypothetical protein DRZ78_01175 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2035772	hypothetical protein DRP61_00070 [Candidatus Omnitrophica bacterium]	Candidatus Omnitrophica bacterium	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica																														
2035772	hypothetical protein DRP61_00070 [Candidatus Omnitrophica bacterium]	Candidatus Omnitrophica bacterium	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica																														
2035772	hypothetical protein DRP61_00070 [Candidatus Omnitrophica bacterium]	Candidatus Omnitrophica bacterium	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica																														
2044937	hypothetical protein CSA56_03455 [candidate division KSB3 bacterium]	candidate division KSB3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB3																														
2044937	hypothetical protein CSA56_03455 [candidate division KSB3 bacterium]	candidate division KSB3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB3																														
2044937	hypothetical protein CSA56_03455 [candidate division KSB3 bacterium]	candidate division KSB3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB3																														
2044937	hypothetical protein CSA56_03455 [candidate division KSB3 bacterium]	candidate division KSB3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB3																														
2044937	hypothetical protein CSA56_03455 [candidate division KSB3 bacterium]	candidate division KSB3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB3																														
2035772	hypothetical protein DRP69_04920 [Candidatus Omnitrophica bacterium]	Candidatus Omnitrophica bacterium	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica																														
2035772	hypothetical protein DRP69_04920 [Candidatus Omnitrophica bacterium]	Candidatus Omnitrophica bacterium	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica																														
2035772	hypothetical protein DRP69_04920 [Candidatus Omnitrophica bacterium]	Candidatus Omnitrophica bacterium	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica																														
878	tetratricopeptide repeat protein [Desulfovibrio fructosivorans]	Desulfovibrio fructosivorans	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio																											
2030807	hypothetical protein DRJ00_02350 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	hypothetical protein DRJ00_02350 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	hypothetical protein DRJ00_02350 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	hypothetical protein DRJ00_02350 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
1798425	hypothetical protein A2000_17040, partial [Ignavibacteria bacterium GWB2_36_8]	Ignavibacteria bacterium GWB2_36_8	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1798425	hypothetical protein A2000_17040, partial [Ignavibacteria bacterium GWB2_36_8]	Ignavibacteria bacterium GWB2_36_8	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus																															
1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus																															
1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus																															
1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus																															
1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus																															
1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus																															
1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus																															
1798427	hypothetical protein A2080_03740 [Ignavibacteria bacterium GWC2_36_12]	Ignavibacteria bacterium GWC2_36_12	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1798427	hypothetical protein A2080_03740 [Ignavibacteria bacterium GWC2_36_12]	Ignavibacteria bacterium GWC2_36_12	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1798427	hypothetical protein A2080_03740 [Ignavibacteria bacterium GWC2_36_12]	Ignavibacteria bacterium GWC2_36_12	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1798427	hypothetical protein A2080_03740 [Ignavibacteria bacterium GWC2_36_12]	Ignavibacteria bacterium GWC2_36_12	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1798433	hypothetical protein A2V93_01655 [Ignavibacteria bacterium RBG_16_34_14]	Ignavibacteria bacterium RBG_16_34_14	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1798433	hypothetical protein A2V93_01655 [Ignavibacteria bacterium RBG_16_34_14]	Ignavibacteria bacterium RBG_16_34_14	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1798433	hypothetical protein A2V93_01655 [Ignavibacteria bacterium RBG_16_34_14]	Ignavibacteria bacterium RBG_16_34_14	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1798433	hypothetical protein A2V93_01655 [Ignavibacteria bacterium RBG_16_34_14]	Ignavibacteria bacterium RBG_16_34_14	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1798433	hypothetical protein A2V93_01655 [Ignavibacteria bacterium RBG_16_34_14]	Ignavibacteria bacterium RBG_16_34_14	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria																												
1716143	tetratricopeptide repeat protein [Pseudodesulfovibrio indicus]	Pseudodesulfovibrio indicus	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio																											
1716143	tetratricopeptide repeat protein [Pseudodesulfovibrio indicus]	Pseudodesulfovibrio indicus	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio																											
2053570	hypothetical protein DRQ02_02555 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria																														
2053570	hypothetical protein DRQ02_02555 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria																														
2053570	hypothetical protein DRQ02_02555 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria																														
1716143	hypothetical protein AWY79_14145 [Pseudodesulfovibrio indicus]	Pseudodesulfovibrio indicus	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio																											
1716143	hypothetical protein AWY79_14145 [Pseudodesulfovibrio indicus]	Pseudodesulfovibrio indicus	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio																											
1469170	tetratricopeptide repeat protein [Longimonas halophila]	Longimonas halophila	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Longimonas																											
1469170	tetratricopeptide repeat protein [Longimonas halophila]	Longimonas halophila	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Longimonas																											
1469170	tetratricopeptide repeat protein [Longimonas halophila]	Longimonas halophila	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Longimonas																											
2283629	tetratricopeptide repeat protein [Pseudodesulfovibrio sp. S3]	Pseudodesulfovibrio sp. S3	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio																											
1592317	tetratricopeptide repeat protein [Desulfoplanes formicivorans]	Desulfoplanes formicivorans	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfoplanes																											
2026735	hypothetical protein DRG71_10070, partial [Deltaproteobacteria bacterium]	Deltaproteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)																												
1592317	tetratricopeptide domain-containing protein [Desulfoplanes formicivorans]	Desulfoplanes formicivorans	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfoplanes																											
2026735	hypothetical protein DRG63_02870, partial [Deltaproteobacteria bacterium]	Deltaproteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)																												
2053570	hypothetical protein DRQ24_03830, partial [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria																														
2030807	tetratricopeptide repeat protein [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	tetratricopeptide repeat protein [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	tetratricopeptide repeat protein [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	tetratricopeptide repeat protein [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
191026	tetratricopeptide repeat protein [Desulfovibrio hydrothermalis]	Desulfovibrio hydrothermalis	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio																											
617002	tetratricopeptide repeat protein [Desulfonatronum thiosulfatophilum]	Desulfonatronum thiosulfatophilum	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum																											
29549	tetratricopeptide repeat protein [Rhodothermus marinus]	Rhodothermus marinus	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Rhodothermus																											
29549	tetratricopeptide repeat protein [Rhodothermus marinus]	Rhodothermus marinus	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Rhodothermus																											
29549	tetratricopeptide repeat protein [Rhodothermus marinus]	Rhodothermus marinus	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Rhodothermus																											
184917	tetratricopeptide repeat protein [Desulfovibrio magneticus]	Desulfovibrio magneticus	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio																											
1643429	Beta-barrel assembly machine subunit BamD [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter																														
1643429	Beta-barrel assembly machine subunit BamD [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter																														
1643429	Beta-barrel assembly machine subunit BamD [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter																														
1643429	Beta-barrel assembly machine subunit BamD [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter																														
1643429	Beta-barrel assembly machine subunit BamD [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter																														
1643429	Beta-barrel assembly machine subunit BamD [Candidatus Kryptobacter tengchongensis]	Candidatus Kryptobacter tengchongensis	cellular organisms	Bacteria	FCB group	Candidatus Kryptonia	Candidatus Kryptobacter																														
47158	tetratricopeptide repeat protein [Desulfovibrio gracilis]	Desulfovibrio gracilis	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio																											
2053570	hypothetical protein DRQ14_00660 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria																														
2053570	hypothetical protein DRQ14_00660 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria																														
2053570	hypothetical protein DRQ14_00660 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria																														
2012485	hypothetical protein CEE34_06685 [Candidatus Aerophobetes bacterium Ae_b3a]	Candidatus Aerophobetes bacterium Ae_b3a	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2012485	hypothetical protein CEE34_06685 [Candidatus Aerophobetes bacterium Ae_b3a]	Candidatus Aerophobetes bacterium Ae_b3a	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2012485	hypothetical protein CEE34_06685 [Candidatus Aerophobetes bacterium Ae_b3a]	Candidatus Aerophobetes bacterium Ae_b3a	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2012485	hypothetical protein CEE34_06685 [Candidatus Aerophobetes bacterium Ae_b3a]	Candidatus Aerophobetes bacterium Ae_b3a	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2012485	hypothetical protein CEE34_06685 [Candidatus Aerophobetes bacterium Ae_b3a]	Candidatus Aerophobetes bacterium Ae_b3a	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	tetratricopeptide repeat protein [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	tetratricopeptide repeat protein [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	tetratricopeptide repeat protein [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	tetratricopeptide repeat protein [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2030807	tetratricopeptide repeat protein [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
2053570	hypothetical protein DRQ08_01140 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria																														
2053570	hypothetical protein DRQ08_01140 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria																														
2053570	hypothetical protein DRQ08_01140 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria																														
2026735	hypothetical protein DRH17_01085 [Deltaproteobacteria bacterium]	Deltaproteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)																												
2049428	tetratricopeptide repeat protein, partial [Ignavibacteriales bacterium]	Ignavibacteriales bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	unclassified Ignavibacteriales																											
2049428	tetratricopeptide repeat protein, partial [Ignavibacteriales bacterium]	Ignavibacteriales bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	unclassified Ignavibacteriales																											
2049428	tetratricopeptide repeat protein, partial [Ignavibacteriales bacterium]	Ignavibacteriales bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	unclassified Ignavibacteriales																											
2049428	tetratricopeptide repeat protein, partial [Ignavibacteriales bacterium]	Ignavibacteriales bacterium	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	Ignavibacteriales	unclassified Ignavibacteriales																											
2030807	hypothetical protein DRI96_01415, partial [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes																													
