qacver	saccver	bitscore	evalue	qlen	slen	length	qcovs	pident	taxid
WP_002854338.1	TDJ52676.1	83.8	9.73E-13	820	770	701	76	16.262	2024844
WP_002854338.1	CUU11179.1	83	1.08E-12	820	475	417	49	17.986	1661580;1661582
WP_002854338.1	BAW29883.1	83.4	1.25E-12	820	601	279	32	20.789	2210
WP_002854338.1	RNJ70866.1	80.3	2.27E-12	820	325	300	35	19	2483801
WP_002854338.1	WP_125485903.1	83	2.31E-12	820	885	683	81	17.716	570835
WP_002854338.1	WP_083856054.1	83	2.36E-12	820	1007	660	71	15.152	445220
WP_002854338.1	WP_083856054.1	64.2	1.47E-06	820	1007	283	71	20.495	445220
WP_002854338.1	WP_083856054.1	56.1	0.000481	820	1007	365	71	14.795	445220
WP_002854338.1	WP_094530507.1	81.9	2.97E-12	820	516	500	53	16.2	1980935
WP_002854338.1	WP_052735492.1	82.3	3.06E-12	820	692	311	37	20.579	2209
WP_002854338.1	TET23346.1	81.9	3.34E-12	820	591	230	49	23.478	2528828
WP_002854338.1	TET23346.1	74.9	5.06E-10	820	591	274	49	21.533	2528828
WP_002854338.1	TET23346.1	60.7	1.18E-05	820	591	338	49	16.272	2528828
WP_002854338.1	TET23346.1	58.4	6.99E-05	820	591	244	49	17.623	2528828
WP_002854338.1	RKY74382.1	81.5	3.71E-12	820	563	375	45	18.133	2172550
WP_002854338.1	ODS40035.1	81.9	4.75E-12	820	829	443	50	18.962	1849365
WP_002854338.1	WP_103980246.1	80.7	5.44E-12	820	497	456	52	20.614	1496
WP_002854338.1	RDJ38520.1	81.9	5.48E-12	820	1320	426	81	21.127	2056631
WP_002854338.1	RDJ38520.1	72.6	4.11E-09	820	1320	687	81	16.885	2056631
WP_002854338.1	WP_018592115.1	80.7	5.89E-12	820	497	456	52	20.614	36841
WP_002854338.1	RKX69396.1	80.7	6.5E-12	820	522	291	34	17.869	2052148
WP_002854338.1	RKX69396.1	54.9	0.000868	820	522	182	34	21.978	2052148
WP_002854338.1	OMJ86090.1	81.1	7.77E-12	820	994	619	71	16.963	5963
WP_002854338.1	GBE32100.1	80.7	8.21E-12	820	593	448	51	19.196	2005715;2005728
WP_002854338.1	WP_069731683.1	80.7	8.98E-12	820	719	667	74	16.642	1287055
WP_002854338.1	WP_096737645.1	80.7	9.3E-12	820	802	470	50	17.66	1358104
WP_002854338.1	CDC19860.1	80.3	9.39E-12	820	572	386	45	17.358	1262794
WP_002854338.1	WP_109234940.1	80	9.95E-12	820	467	414	49	17.391	784;1359184
WP_002854338.1	WP_109234940.1	54.9	0.000694	820	467	356	49	16.854	784;1359184
WP_002854338.1	WP_048158853.1	81.1	1E-11	820	1780	698	81	16.762	1434103
WP_002854338.1	WP_048158853.1	62.2	6.02E-06	820	1780	438	81	15.525	1434103
WP_002854338.1	WP_048158853.1	58.8	8.28E-05	820	1780	411	81	17.032	1434103
WP_002854338.1	OGW48710.1	80.7	1.09E-11	820	769	651	75	18.433	1801709
WP_002854338.1	XP_002681344.1	80.3	1.24E-11	820	820	407	46	19.41	5762;744533
WP_002854338.1	PYV80534.1	80.3	1.44E-11	820	837	680	81	17.794	1978231
WP_002854338.1	RSL17411.1	80.3	1.48E-11	820	846	680	81	17.647	570835
WP_002854338.1	XP_014699566.1	80.7	1.48E-11	820	2004	481	80	18.919	9793
WP_002854338.1	XP_014699566.1	56.8	0.000327	820	2004	518	80	17.568	9793
WP_002854338.1	PYV62545.1	80.3	1.5E-11	820	1071	396	47	18.434	1978231
WP_002854338.1	OQX56807.1	79.6	1.66E-11	820	563	375	45	18.133	1968530
WP_002854338.1	RKY79368.1	79.6	1.87E-11	820	563	375	45	18.133	2172550
WP_002854338.1	PYU57459.1	80	2.09E-11	820	851	438	52	19.635	1978231
WP_002854338.1	WP_026364316.1	79.6	2.1E-11	820	748	644	72	17.081	13264
WP_002854338.1	XP_023478581.1	80.3	2.11E-11	820	1980	481	80	18.919	9796
WP_002854338.1	XP_023478581.1	58.4	9.07E-05	820	1980	518	80	17.761	9796
WP_002854338.1	OGL40491.1	80	2.23E-11	820	932	541	82	16.821	1817877;1817881;1817882;1817883
WP_002854338.1	OGL40491.1	78.8	4.42E-11	820	932	755	82	16.821	1817877;1817881;1817882;1817883
WP_002854338.1	OGL40491.1	66.5	2.68E-07	820	932	686	82	15.743	1817877;1817881;1817882;1817883
WP_002854338.1	RKY84414.1	78.8	3.24E-11	820	563	375	45	17.867	2172550
WP_002854338.1	PYU81819.1	79.2	3.27E-11	820	851	443	53	19.413	1978231
WP_002854338.1	RKY92367.1	78.4	3.76E-11	820	563	375	45	18.133	2172550
WP_002854338.1	WP_048126768.1	79.2	3.91E-11	820	1780	698	81	16.762	1434102
WP_002854338.1	WP_048126768.1	62.2	6.07E-06	820	1780	438	81	15.525	1434102
WP_002854338.1	WP_048126768.1	59.5	4.42E-05	820	1780	411	81	17.032	1434102
WP_002854338.1	DAB21006.1	78.4	4.15E-11	820	568	487	58	16.632	1916319
WP_002854338.1	SPR11262.1	78	4.2E-11	820	501	414	49	17.15	784
WP_002854338.1	SPR11262.1	66.1	2.25E-07	820	501	358	49	18.715	784
WP_002854338.1	PYU62508.1	78.8	4.45E-11	820	851	390	46	20.256	1978231
WP_002854338.1	GBC94242.1	78.8	4.52E-11	820	838	705	81	17.163	2035411
WP_002854338.1	WP_046662412.1	78.8	4.7E-11	820	1059	498	54	18.876	1126;1641812;1698524
WP_002854338.1	WP_045916419.1	78	4.78E-11	820	569	382	49	18.063	784;1359186
WP_002854338.1	WP_045916419.1	58.4	7.12E-05	820	569	268	49	20.896	784;1359186
WP_002854338.1	PYU73770.1	78.8	4.81E-11	820	851	438	52	19.406	1978231
WP_002854338.1	WP_086102464.1	78.8	4.97E-11	820	1114	371	42	17.52	1985174
WP_002854338.1	PYU50522.1	78.4	5.06E-11	820	851	438	52	19.406	1978231
WP_002854338.1	PYU39545.1	78.4	5.06E-11	820	851	438	52	19.406	1978231
WP_002854338.1	TDI86184.1	78.4	5.1E-11	820	914	364	81	19.231	1962856
WP_002854338.1	TDI86184.1	72.6	3.67E-09	820	914	709	81	17.066	1962856
WP_002854338.1	TDI86184.1	68.4	6.83E-08	820	914	461	81	18.221	1962856
WP_002854338.1	TDI86184.1	68.4	7.13E-08	820	914	655	81	16.641	1962856
WP_002854338.1	TDI86184.1	57.6	0.00013	820	914	660	81	16.667	1962856
WP_002854338.1	OGP03554.1	77.6	5.91E-11	820	567	456	44	18.64	1797802;1797857;1797870;1797886
WP_002854338.1	WP_110545800.1	78.4	6.26E-11	820	1091	391	53	18.414	1126;449534
WP_002854338.1	WP_110545800.1	74.6	9.94E-10	820	1091	497	53	19.115	1126;449534
WP_002854338.1	PYT17011.1	78.4	6.61E-11	820	1019	213	25	19.249	1978231
WP_002854338.1	OLE66893.1	78	7.58E-11	820	1020	213	25	21.127	1803430
WP_002854338.1	PIE82079.1	77.6	7.99E-11	820	614	402	46	18.159	2026724
WP_002854338.1	PIE82079.1	58	0.000105	820	614	269	46	20.818	2026724
WP_002854338.1	WP_047108579.1	77.6	8.28E-11	820	800	741	82	16.734	159
WP_002854338.1	WP_020721047.1	77.6	8.62E-11	820	853	399	47	19.799	1267535
WP_002854338.1	WP_047114220.1	77.6	1.01E-10	820	800	741	82	16.734	159
WP_002854338.1	XP_001634110.1	77.6	1.04E-10	820	1194	428	47	18.692	45351
WP_002854338.1	XP_001634110.1	76.1	3.33E-10	820	1194	389	47	19.023	45351
WP_002854338.1	XP_001634110.1	66.5	2.72E-07	820	1194	412	47	17.233	45351
WP_002854338.1	OEU53321.1	77.3	1.11E-10	820	801	701	81	15.264	1869298
WP_002854338.1	OYT21285.1	77.3	1.11E-10	820	654	425	50	17.412	2004993
WP_002854338.1	ACN84402.1	77.3	1.13E-10	820	798	741	82	16.734	565034
WP_002854338.1	WP_044555364.1	77.3	1.13E-10	820	800	741	82	16.734	159
WP_002854338.1	OEU78885.1	77.3	1.14E-10	820	801	701	81	15.264	1869299
WP_002854338.1	RZV84919.1	77.3	1.17E-10	820	663	716	86	16.061	2512262;2555784
WP_002854338.1	RZV84919.1	59.9	2.77E-05	820	663	557	86	16.876	2512262;2555784
WP_002854338.1	WP_025392769.1	76.9	1.38E-10	820	697	503	59	17.495	33002;694431
WP_002854338.1	DAA95704.1	76.9	1.39E-10	820	585	387	45	19.638	1916320
WP_002854338.1	PYU04619.1	77.3	1.41E-10	820	850	395	46	21.013	1978231
WP_002854338.1	RCJ26557.1	77.3	1.52E-10	820	1239	655	76	18.168	1840705
WP_002854338.1	AKB17953.1	77.3	1.56E-10	820	1749	680	84	16.618	1434103
WP_002854338.1	AKB17953.1	62.6	5.06E-06	820	1749	438	84	15.525	1434103
WP_002854338.1	AKB17953.1	58.8	6.74E-05	820	1749	411	84	17.032	1434103
WP_002854338.1	AKB17953.1	55.3	0.000823	820	1749	273	84	20.513	1434103
WP_002854338.1	WP_047104545.1	76.9	1.56E-10	820	800	741	82	16.869	159
WP_002854338.1	NP_001297064.1	77.3	1.57E-10	820	1902	455	47	18.022	9606
WP_002854338.1	OEU81550.1	76.9	1.62E-10	820	766	661	76	16.188	1869303
WP_002854338.1	XP_022098339.1	76.9	1.7E-10	820	893	250	28	20	133434
WP_002854338.1	WP_109352698.1	77.3	1.73E-10	820	1584	786	77	17.048	2100723
WP_002854338.1	WP_109352698.1	63	3.34E-06	820	1584	330	77	14.848	2100723
WP_002854338.1	WP_069725830.1	76.5	1.89E-10	820	751	677	74	17.134	1287055
WP_002854338.1	WP_134484578.1	74.9	1.9E-10	820	354	243	28	20.988	1798806
WP_002854338.1	PLX15766.1	77.3	1.92E-10	820	2476	689	83	14.804	2053465
WP_002854338.1	PLX15766.1	73	3.93E-09	820	2476	662	83	15.861	2053465
WP_002854338.1	PLX15766.1	64.5	1.37E-06	820	2476	433	83	18.014	2053465
WP_002854338.1	PLX15766.1	59.5	5.19E-05	820	2476	613	83	14.682	2053465
WP_002854338.1	PYS97348.1	75.7	1.93E-10	820	453	398	45	19.347	1978231
WP_002854338.1	WP_050035849.1	76.5	1.96E-10	820	727	350	37	20	2209
WP_002854338.1	WP_137726758.1	76.1	2.06E-10	820	543	243	34	20.576	2209
WP_002854338.1	WP_137726758.1	57.6	0.000101	820	543	314	34	19.427	2209
WP_002854338.1	XP_001012899.1	76.5	2.26E-10	820	1122	527	77	18.406	312017
WP_002854338.1	XP_001012899.1	66.9	2.25E-07	820	1122	641	77	16.693	312017
WP_002854338.1	XP_001012899.1	65.3	6.48E-07	820	1122	646	77	18.421	312017
WP_002854338.1	ETR72867.1	76.9	2.26E-10	820	1458	236	27	20.339	890399
WP_002854338.1	XP_022098333.1	76.5	2.29E-10	820	925	250	28	20	133434
WP_002854338.1	WP_090748996.1	76.1	2.36E-10	820	631	425	50	17.412	1742972
WP_002854338.1	GAK50740.1	76.5	2.4E-10	820	1245	642	84	17.29	1499966
WP_002854338.1	GAK50740.1	57.2	0.000213	820	1245	758	84	15.699	1499966
WP_002854338.1	WP_048037057.1	76.1	2.45E-10	820	651	473	53	17.336	2209;1434113
WP_002854338.1	OPX26504.1	76.1	2.51E-10	820	770	254	46	18.504	1956163
WP_002854338.1	OPX26504.1	58	9.29E-05	820	770	371	46	16.442	1956163
WP_002854338.1	KPA16954.1	76.5	2.51E-10	820	1517	249	28	20.482	1509431
WP_002854338.1	PIR00978.1	76.1	2.61E-10	820	760	531	80	17.326	1974048
WP_002854338.1	PIR00978.1	66.5	2.31E-07	820	760	678	80	14.307	1974048
WP_002854338.1	PIR00978.1	61.1	1.23E-05	820	760	392	80	16.837	1974048
WP_002854338.1	PIR00978.1	56.8	0.000241	820	760	574	80	17.073	1974048
WP_002854338.1	WP_092128896.1	76.1	2.66E-10	820	695	501	59	17.764	79269
WP_002854338.1	OLD64628.1	76.1	2.67E-10	820	754	213	25	21.127	1803446
WP_002854338.1	TFG21606.1	76.5	2.7E-10	820	1120	462	59	14.502	2053489
WP_002854338.1	TFG21606.1	59.2	5.56E-05	820	1120	386	59	15.285	2053489
WP_002854338.1	TET79741.1	76.1	2.74E-10	820	895	518	62	18.919	2030808
WP_002854338.1	TET79741.1	59.9	2.58E-05	820	895	460	62	16.957	2030808
WP_002854338.1	CUS36442.1	75.7	2.75E-10	820	603	425	50	17.412	1742972
WP_002854338.1	TKB89251.1	75.7	3.09E-10	820	669	371	44	16.981	70125
WP_002854338.1	PZO42162.1	75.3	3.31E-10	820	518	401	53	15.96	945775
WP_002854338.1	PZO42162.1	71.9	4.28E-09	820	518	482	53	18.465	945775
WP_002854338.1	TKJ34713.1	74.6	3.31E-10	820	386	350	41	21.714	2012999
WP_002854338.1	XP_012943224.1	76.1	3.44E-10	820	2315	565	66	16.283	6500
WP_002854338.1	WP_036005830.1	73.8	3.51E-10	820	326	202	24	19.802	1487953
WP_002854338.1	GBC95740.1	74.9	3.66E-10	820	481	417	49	19.185	2035411
WP_002854338.1	XP_017458715.1	76.1	3.86E-10	820	1871	535	80	18.318	10116
WP_002854338.1	XP_017458715.1	59.9	3.39E-05	820	1871	512	80	17.383	10116
WP_002854338.1	WP_073471958.1	75.7	4.06E-10	820	816	379	54	19.261	259354;1121393
WP_002854338.1	WP_073471958.1	60.7	1.8E-05	820	816	439	54	16.629	259354;1121393
WP_002854338.1	WP_073471958.1	56.5	0.000364	820	816	198	54	20.202	259354;1121393
WP_002854338.1	XP_023045440.1	76.1	4.14E-10	820	1901	455	47	17.143	591936
WP_002854338.1	WP_020458008.1	75.3	4.22E-10	820	591	403	47	18.362	1515;203119
WP_002854338.1	XP_017458714.1	76.1	4.22E-10	820	1919	535	58	18.318	10116
WP_002854338.1	WP_096896407.1	75.7	4.33E-10	820	1478	715	80	16.643	1284222
WP_002854338.1	WP_096896407.1	59.2	5.03E-05	820	1478	675	80	14.37	1284222
WP_002854338.1	WP_003514804.1	74.9	4.33E-10	820	591	403	47	18.362	1515;492476;572545;637887;1094188;1138384;1349417
WP_002854338.1	RIB15502.1	75.7	4.66E-10	820	1508	367	79	19.346	44941
WP_002854338.1	RIB15502.1	57.2	0.000243	820	1508	683	79	15.52	44941
WP_002854338.1	PYV32104.1	75.3	4.67E-10	820	870	672	80	18.601	1978231
WP_002854338.1	PYV32104.1	63	3.07E-06	820	870	384	80	18.229	1978231
WP_002854338.1	XP_001425063.1	75.7	4.74E-10	820	1339	679	81	17.084	5888;412030
WP_002854338.1	XP_001425063.1	68	1.13E-07	820	1339	691	81	17.366	5888;412030
WP_002854338.1	XP_001425063.1	67.6	1.56E-07	820	1339	635	81	16.85	5888;412030
WP_002854338.1	XP_001425063.1	63.8	1.92E-06	820	1339	677	81	17.43	5888;412030
WP_002854338.1	WP_116182774.1	75.7	4.82E-10	820	1261	671	73	16.095	2292706
WP_002854338.1	GAX63009.1	75.7	4.96E-10	820	1434	718	80	16.017	1284222
WP_002854338.1	GAX63009.1	59.2	6.35E-05	820	1434	670	80	13.881	1284222
WP_002854338.1	WP_013114733.1	75.3	5.1E-10	820	750	440	48	18.409	84378;526224
WP_002854338.1	RLB04302.1	75.3	5.13E-10	820	776	600	69	19.667	2026735
WP_002854338.1	WP_048593702.1	75.3	5.21E-10	820	817	647	73	16.538	381802
WP_002854338.1	WP_125731525.1	75.3	5.25E-10	820	1008	472	53	18.856	44822;213615
WP_002854338.1	WP_125731525.1	60.3	2.59E-05	820	1008	338	53	16.864	44822;213615
WP_002854338.1	WP_103667334.1	74.6	5.32E-10	820	520	402	53	16.667	2043171
WP_002854338.1	WP_103667334.1	61.5	6.35E-06	820	520	486	53	17.901	2043171
WP_002854338.1	AFK79142.1	74.9	5.38E-10	820	645	397	46	21.411	1191434
WP_002854338.1	WP_048138469.1	75.7	5.45E-10	820	1839	691	83	17.511	418008
WP_002854338.1	WP_048138469.1	61.9	8.64E-06	820	1839	464	83	15.733	418008
WP_002854338.1	TKB63052.1	74.9	5.45E-10	820	580	371	44	16.712	70125
WP_002854338.1	OGM05910.1	75.3	5.84E-10	820	1717	663	79	16.742	1817813
WP_002854338.1	CUR22804.1	75.3	5.99E-10	820	1214	699	84	16.023	671068
WP_002854338.1	GBC93069.1	74.2	6.14E-10	820	476	412	82	16.505	2035410
WP_002854338.1	GBC93069.1	64.5	7.87E-07	820	476	397	82	18.64	2035410
WP_002854338.1	GBC93069.1	54.5	0.001	820	476	334	82	16.766	2035410
WP_002854338.1	AKB21290.1	75.3	6.33E-10	820	1749	680	84	16.618	1434102
WP_002854338.1	AKB21290.1	62.6	5.33E-06	820	1749	438	84	15.525	1434102
WP_002854338.1	AKB21290.1	59.9	3.72E-05	820	1749	411	84	17.032	1434102
WP_002854338.1	AKB21290.1	55.3	0.000844	820	1749	273	84	20.513	1434102
WP_002854338.1	WP_065203222.1	74.9	7.01E-10	820	800	741	82	16.464	159;1266923
WP_002854338.1	RLA98631.1	74.6	7.24E-10	820	776	600	69	19.667	2026735
WP_002854338.1	TFG50788.1	74.2	7.57E-10	820	554	215	27	23.721	2517210
WP_002854338.1	TFG50788.1	57.2	0.000136	820	554	245	27	21.224	2517210
WP_002854338.1	WP_002199214.1	74.9	7.76E-10	820	918	404	47	19.554	1396;1053189
WP_002854338.1	WP_047112194.1	74.6	8.32E-10	820	800	741	82	16.464	159
WP_002854338.1	WP_126388935.1	73.8	8.43E-10	820	516	440	46	17.5	685565
WP_002854338.1	RJQ14913.1	74.6	8.77E-10	820	923	667	80	16.042	2026770
WP_002854338.1	WP_015949970.1	74.6	8.79E-10	820	816	379	53	18.997	218208
WP_002854338.1	WP_015949970.1	64.9	7.41E-07	820	816	440	53	17.273	218208
WP_002854338.1	WP_013008187.1	74.6	9.37E-10	820	902	411	47	19.465	197162;639282
WP_002854338.1	WP_013008187.1	71.1	1.14E-08	820	902	415	47	18.795	197162;639282
WP_002854338.1	WP_069727206.1	74.2	9.62E-10	820	800	742	82	16.577	1287055
WP_002854338.1	PIS46674.1	74.2	9.83E-10	820	709	355	42	17.183	2014309
WP_002854338.1	XP_022286814.1	74.2	9.94E-10	820	846	253	48	19.368	6565
WP_002854338.1	XP_022286814.1	55.3	0.000723	820	846	394	48	18.782	6565
WP_002854338.1	WP_014489142.1	74.2	1.04E-09	820	800	741	82	16.869	84377;1045858
WP_002854338.1	TET67331.1	74.2	1.09E-09	820	943	376	43	20.479	2052149
WP_002854338.1	WP_090898209.1	73.8	1.11E-09	820	610	371	44	16.712	1742973
WP_002854338.1	XP_022287196.1	74.2	1.11E-09	820	846	253	48	19.368	6565
WP_002854338.1	XP_022287196.1	54.9	0.001	820	846	394	48	18.782	6565
WP_002854338.1	WP_047115290.1	74.2	1.14E-09	820	800	741	82	16.734	159
WP_002854338.1	TMU56566.1	74.6	1.15E-09	820	1256	591	64	16.92	2583815
WP_002854338.1	WP_045917372.1	73.8	1.16E-09	820	604	406	49	18.227	784;1359175
WP_002854338.1	WP_045917372.1	62.6	3.91E-06	820	604	264	49	19.697	784;1359175
WP_002854338.1	BBC26047.1	73.4	1.18E-09	820	499	440	46	17.5	685565
WP_002854338.1	WP_014487222.1	74.2	1.21E-09	820	817	391	63	19.949	84377;1045858
WP_002854338.1	WP_014487222.1	60.3	2.06E-05	820	817	532	63	15.789	84377;1045858
WP_002854338.1	PYS20874.1	73.8	1.3E-09	820	758	189	23	21.693	1978231
WP_002854338.1	PYS39656.1	74.2	1.3E-09	820	1102	641	75	16.537	1978231
WP_002854338.1	PYS39656.1	56.8	0.000296	820	1102	564	75	14.716	1978231
WP_002854338.1	WP_047116575.1	73.8	1.35E-09	820	817	484	80	15.289	159
WP_002854338.1	WP_047116575.1	66.1	3.43E-07	820	817	682	80	15.982	159
WP_002854338.1	WP_047113040.1	73.8	1.36E-09	820	800	741	82	16.464	159
WP_002854338.1	SHN93166.1	73.4	1.38E-09	820	570	372	46	16.935	1181670
WP_002854338.1	SHN93166.1	56.8	0.000204	820	570	241	46	19.502	1181670
WP_002854338.1	WP_041032760.1	74.2	1.41E-09	820	1431	728	85	17.72	1136105;1245935
WP_002854338.1	WP_014587259.1	74.2	1.43E-09	820	1348	408	73	18.382	301375;1110509
WP_002854338.1	WP_014587259.1	59.2	5.33E-05	820	1348	622	73	15.756	301375;1110509
WP_002854338.1	OLE14834.1	73.8	1.44E-09	820	857	693	79	18.182	1803434
WP_002854338.1	KMP12220.1	73.8	1.5E-09	820	765	676	78	19.379	1628278
WP_002854338.1	KMP12220.1	73.4	1.68E-09	820	765	399	78	18.045	1628278
WP_002854338.1	WP_020064596.1	73.8	1.52E-09	820	800	741	82	16.464	159
WP_002854338.1	RKY13529.1	73.8	1.54E-09	820	838	439	76	18.907	2026780
WP_002854338.1	RKY13529.1	66.5	2.43E-07	820	838	487	76	14.784	2026780
WP_002854338.1	RKY13529.1	58	0.000117	820	838	238	76	18.067	2026780
WP_002854338.1	WP_127015962.1	73.4	1.57E-09	820	699	229	26	23.144	1323375
WP_002854338.1	RCK79510.1	73.4	1.67E-09	820	714	664	79	16.867	2268124
WP_002854338.1	WP_048493582.1	73.4	1.68E-09	820	765	676	78	19.231	1628279
WP_002854338.1	WP_048493582.1	73.4	1.89E-09	820	765	399	78	18.045	1628279
WP_002854338.1	XP_023377408.1	74.2	1.69E-09	820	1954	465	49	17.419	132908
WP_002854338.1	WP_011522485.1	73.8	1.69E-09	820	1127	190	22	23.158	204669;658062
WP_002854338.1	RJR23792.1	73.4	1.7E-09	820	758	625	73	14.72	2049433
WP_002854338.1	WP_104618138.1	73.4	1.77E-09	820	722	422	51	19.194	84378
WP_002854338.1	WP_104618138.1	65.7	4.42E-07	820	722	415	51	17.831	84378
WP_002854338.1	BAZ08591.1	73.4	1.78E-09	820	890	435	79	17.011	2005463;2005469
WP_002854338.1	BAZ08591.1	72.6	3.33E-09	820	890	367	79	19.619	2005463;2005469
WP_002854338.1	BAZ08591.1	61.1	1.21E-05	820	890	388	79	17.268	2005463;2005469
WP_002854338.1	WP_109434200.1	73.8	1.8E-09	820	1126	555	59	19.279	2108528
WP_002854338.1	WP_071503045.1	72.6	1.99E-09	820	455	362	43	16.298	1750698
WP_002854338.1	XP_013776263.2	73.4	2.06E-09	820	918	384	43	19.271	6850
WP_002854338.1	RJP74713.1	73	2.06E-09	820	588	624	74	16.346	2093361
WP_002854338.1	WP_085168860.1	73.4	2.1E-09	820	800	741	82	16.464	159
WP_002854338.1	WP_015946975.1	73	2.18E-09	820	661	579	68	18.998	218208
WP_002854338.1	WP_086425999.1	73	2.18E-09	820	607	406	48	16.256	96242
WP_002854338.1	XP_001439116.1	73	2.23E-09	820	815	500	62	18.4	5888;412030
WP_002854338.1	XP_001439116.1	66.9	1.82E-07	820	815	440	62	18.864	5888;412030
WP_002854338.1	XP_001439116.1	62.6	3.76E-06	820	815	406	62	18.473	5888;412030
WP_002854338.1	XP_001439116.1	58	0.000106	820	815	377	62	18.302	5888;412030
WP_002854338.1	OJW72063.1	73.4	2.35E-09	820	2500	648	70	15.586	1895716
WP_002854338.1	OJW72063.1	60.3	2.62E-05	820	2500	675	70	16	1895716
WP_002854338.1	RKX82129.1	73	2.41E-09	820	879	496	60	16.734	2202144
WP_002854338.1	AZR72632.1	73	2.43E-09	820	688	229	26	23.144	1323375
WP_002854338.1	WP_009628069.1	72.6	2.51E-09	820	528	512	54	15.625	927668;927669
WP_002854338.1	OHD67514.1	72.6	2.57E-09	820	684	500	58	17.4	1802195
WP_002854338.1	OHD70126.1	73	2.58E-09	820	790	797	88	16.186	1802195
WP_002854338.1	WP_047114009.1	73	2.6E-09	820	800	741	82	16.464	159
WP_002854338.1	TET22980.1	73	2.63E-09	820	897	479	80	18.372	2030808
WP_002854338.1	TET22980.1	60.3	2.37E-05	820	897	675	80	16.444	2030808
WP_002854338.1	PWT87440.1	72.6	2.67E-09	820	551	428	43	16.822	2052146
WP_002854338.1	WP_048133199.1	73.4	2.75E-09	820	1813	697	98	16.499	1483602
WP_002854338.1	WP_048133199.1	61.9	9.88E-06	820	1813	550	98	17.455	1483602
WP_002854338.1	WP_048133199.1	56.1	0.000579	820	1813	281	98	19.929	1483602
WP_002854338.1	PMP80757.1	72.6	2.77E-09	820	739	701	80	17.118	2060323
WP_002854338.1	XP_017750881.1	73.4	2.77E-09	820	2050	455	76	17.143	61621
WP_002854338.1	XP_017750881.1	56.8	0.000325	820	2050	564	76	16.489	61621
WP_002854338.1	XP_024087784.1	73.4	2.85E-09	820	1902	481	49	16.008	9601
WP_002854338.1	RLA95405.1	73	2.86E-09	820	853	479	60	14.405	2026735
WP_002854338.1	RLA95405.1	64.5	9.86E-07	820	853	392	60	19.133	2026735
WP_002854338.1	TFH01792.1	73	2.98E-09	820	909	597	79	16.415	2528038
