qaccver	saccver	bitscore	eval	qlen	slen	length	qcovs	pident	taxid	protein	species	a	b	c	d	e	f	g	h	I	j	k	l	m	n	o	p	q
WP_002851328.1	WP_082204966.1	118	2.46E-23	788	1003	643	78	15.397	1348163	outer membrane protein assembly factor BamD [Desulfocarbo indianensis]	Desulfocarbo indianensis	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfocarbo									
WP_002851328.1	WP_136674371.1	115	1.5E-22	788	1124	606	73	16.832	2302941	tetratricopeptide repeat protein [Marinifilum sp. JC120]	Marinifilum sp. JC120	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidia	Marinilabiliales	Marinifilaceae	Marinifilum								
WP_002851328.1	WP_051249631.1	113	8.76E-22	788	1134	608	73	15.461	82171	tetratricopeptide repeat protein [Desulfovibrio zosterae]	Desulfovibrio zosterae	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio									
WP_002851328.1	WP_005008200.1	112	1.08E-21	788	831	638	78	14.577	35801;1266370	tetratricopeptide repeat protein [Nitrospina gracilis]	Nitrospina gracilis	cellular organisms	Bacteria	Nitrospinae/Tectomicrobia group	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina									
WP_002851328.1	WP_092161954.1	111	2.11E-21	788	1034	604	73	14.404	246191	tetratricopeptide repeat protein [Desulfovibrio ferrireducens]	Desulfovibrio ferrireducens	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio									
WP_002851328.1	WP_015852851.1	111	3.3E-21	788	1117	627	75	16.108	880;526222	tetratricopeptide repeat protein [Desulfovibrio salexigens]	Desulfovibrio salexigens	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio									
WP_002851328.1	WP_013257731.1	110	6.78E-21	788	1085	636	77	16.038	453230;644282	tetratricopeptide repeat protein [Desulfarculus baarsii]	Desulfarculus baarsii	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	Desulfarculus									
WP_002851328.1	OIP57049.1	110	7.24E-21	788	990	547	75	15.905	1805221;1974040	hypothetical protein AUK34_10110 [Ignavibacteria bacterium CG2_30_36_16]	Ignavibacteria bacterium CG2_30_36_16	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	OIP57049.1	70.3	1.89E-08	788	990	676	75	12.574	1805221;1974040	hypothetical protein AUK34_10110 [Ignavibacteria bacterium CG2_30_36_16]	Ignavibacteria bacterium CG2_30_36_16	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	OIP57049.1	63	3.49E-06	788	990	406	75	15.517	1805221;1974040	hypothetical protein AUK34_10110 [Ignavibacteria bacterium CG2_30_36_16]	Ignavibacteria bacterium CG2_30_36_16	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	OIP57049.1	58.4	8.25E-05	788	990	409	75	11.736	1805221;1974040	hypothetical protein AUK34_10110 [Ignavibacteria bacterium CG2_30_36_16]	Ignavibacteria bacterium CG2_30_36_16	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	WP_066605315.1	110	9.69E-21	788	1029	387	47	16.021	132132;888061	tetratricopeptide repeat protein [Desulfomicrobium orale]	Desulfomicrobium orale	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium									
WP_002851328.1	RLE08382.1	108	2.9E-20	788	921	570	77	13.86	2030807	hypothetical protein DRZ78_01175 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	RLE08382.1	102	2.09E-18	788	921	623	77	15.088	2030807	hypothetical protein DRZ78_01175 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	RLE08382.1	92.3	2.64E-15	788	921	592	77	14.189	2030807	hypothetical protein DRZ78_01175 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	RLE08382.1	83.8	1.02E-12	788	921	608	77	11.678	2030807	hypothetical protein DRZ78_01175 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	RLE08382.1	72.3	4E-09	788	921	447	77	13.423	2030807	hypothetical protein DRZ78_01175 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	RLE08382.1	66.9	1.8E-07	788	921	516	77	11.822	2030807	hypothetical protein DRZ78_01175 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	RKY29064.1	108	3.16E-20	788	801	622	78	14.148	2035772	hypothetical protein DRP61_00070 [Candidatus Omnitrophica bacterium]	Candidatus Omnitrophica bacterium	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica												
WP_002851328.1	RKY29064.1	92.3	2.37E-15	788	801	529	78	17.202	2035772	hypothetical protein DRP61_00070 [Candidatus Omnitrophica bacterium]	Candidatus Omnitrophica bacterium	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica												
WP_002851328.1	RKY29064.1	58.4	8.78E-05	788	801	318	78	14.465	2035772	hypothetical protein DRP61_00070 [Candidatus Omnitrophica bacterium]	Candidatus Omnitrophica bacterium	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica												
WP_002851328.1	PIE35622.1	108	3.85E-20	788	1051	597	79	13.233	2044937	hypothetical protein CSA56_03455 [candidate division KSB3 bacterium]	candidate division KSB3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB3												
WP_002851328.1	PIE35622.1	104	4.72E-19	788	1051	589	79	14.431	2044937	hypothetical protein CSA56_03455 [candidate division KSB3 bacterium]	candidate division KSB3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB3												
WP_002851328.1	PIE35622.1	80.7	1.24E-11	788	1051	572	79	14.51	2044937	hypothetical protein CSA56_03455 [candidate division KSB3 bacterium]	candidate division KSB3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB3												
WP_002851328.1	PIE35622.1	74.6	8.5E-10	788	1051	537	79	12.291	2044937	hypothetical protein CSA56_03455 [candidate division KSB3 bacterium]	candidate division KSB3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB3												
WP_002851328.1	PIE35622.1	71.9	6.06E-09	788	1051	244	79	13.115	2044937	hypothetical protein CSA56_03455 [candidate division KSB3 bacterium]	candidate division KSB3 bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	candidate division KSB3												
WP_002851328.1	RKY34343.1	107	4.67E-20	788	801	622	78	14.148	2035772	hypothetical protein DRP69_04920 [Candidatus Omnitrophica bacterium]	Candidatus Omnitrophica bacterium	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica												
WP_002851328.1	RKY34343.1	92.7	2E-15	788	801	529	78	17.202	2035772	hypothetical protein DRP69_04920 [Candidatus Omnitrophica bacterium]	Candidatus Omnitrophica bacterium	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica												
WP_002851328.1	RKY34343.1	58.4	7.93E-05	788	801	318	78	14.465	2035772	hypothetical protein DRP69_04920 [Candidatus Omnitrophica bacterium]	Candidatus Omnitrophica bacterium	cellular organisms	Bacteria	PVC group	Candidatus Omnitrophica	unclassified Candidatus Omnitrophica												
WP_002851328.1	WP_005995199.1	107	5.6E-20	788	1000	644	78	14.596	878;596151	tetratricopeptide repeat protein [Desulfovibrio fructosivorans]	Desulfovibrio fructosivorans	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio									
WP_002851328.1	RLE10156.1	106	6.27E-20	788	666	620	78	13.548	2030807	hypothetical protein DRJ00_02350 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	RLE10156.1	86.1	1.49E-13	788	666	425	78	18.118	2030807	hypothetical protein DRJ00_02350 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	RLE10156.1	72.6	2.62E-09	788	666	543	78	14.733	2030807	hypothetical protein DRJ00_02350 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	RLE10156.1	60.3	1.91E-05	788	666	497	78	14.085	2030807	hypothetical protein DRJ00_02350 [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	OGU47189.1	106	6.3E-20	788	731	542	76	15.683	1798425	hypothetical protein A2000_17040, partial [Ignavibacteria bacterium GWB2_36_8]	Ignavibacteria bacterium GWB2_36_8	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	OGU47189.1	57.2	0.00017	788	731	265	76	16.226	1798425	hypothetical protein A2000_17040, partial [Ignavibacteria bacterium GWB2_36_8]	Ignavibacteria bacterium GWB2_36_8	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	GAK54059.1	106	9.25E-20	788	1037	601	77	14.809	1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus													
WP_002851328.1	GAK54059.1	102	1.97E-18	788	1037	406	77	16.01	1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus													
WP_002851328.1	GAK54059.1	91.5	5.8E-15	788	1037	538	77	16.357	1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus													
WP_002851328.1	GAK54059.1	79.2	2.96E-11	788	1037	636	77	13.208	1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus													
WP_002851328.1	GAK54059.1	79.2	3.73E-11	788	1037	299	77	14.047	1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus													
WP_002851328.1	GAK54059.1	73.4	2.3E-09	788	1037	500	77	13	1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus													
WP_002851328.1	GAK54059.1	66.1	3.89E-07	788	1037	654	77	10.856	1499966	outer membrane assembly lipoprotein YfiO [Candidatus Moduliflexus flocculans]	Candidatus Moduliflexus flocculans	cellular organisms	Bacteria	unclassified Bacteria	Candidatus Moduliflexus													
WP_002851328.1	OGU52126.1	106	1.12E-19	788	991	542	77	15.498	1798427	hypothetical protein A2080_03740 [Ignavibacteria bacterium GWC2_36_12]	Ignavibacteria bacterium GWC2_36_12	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	OGU52126.1	67.6	1.34E-07	788	991	477	77	16.771	1798427	hypothetical protein A2080_03740 [Ignavibacteria bacterium GWC2_36_12]	Ignavibacteria bacterium GWC2_36_12	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	OGU52126.1	62.2	4.82E-06	788	991	627	77	12.6	1798427	hypothetical protein A2080_03740 [Ignavibacteria bacterium GWC2_36_12]	Ignavibacteria bacterium GWC2_36_12	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	OGU52126.1	62.2	5.34E-06	788	991	645	77	10.233	1798427	hypothetical protein A2080_03740 [Ignavibacteria bacterium GWC2_36_12]	Ignavibacteria bacterium GWC2_36_12	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	OGU72345.1	106	1.6E-19	788	999	648	78	14.815	1798433	hypothetical protein A2V93_01655 [Ignavibacteria bacterium RBG_16_34_14]	Ignavibacteria bacterium RBG_16_34_14	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	OGU72345.1	84.2	8.34E-13	788	999	680	78	11.765	1798433	hypothetical protein A2V93_01655 [Ignavibacteria bacterium RBG_16_34_14]	Ignavibacteria bacterium RBG_16_34_14	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	OGU72345.1	71.1	1.09E-08	788	999	437	78	15.789	1798433	hypothetical protein A2V93_01655 [Ignavibacteria bacterium RBG_16_34_14]	Ignavibacteria bacterium RBG_16_34_14	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	OGU72345.1	62.2	6.14E-06	788	999	303	78	11.221	1798433	hypothetical protein A2V93_01655 [Ignavibacteria bacterium RBG_16_34_14]	Ignavibacteria bacterium RBG_16_34_14	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	OGU72345.1	61.9	7.86E-06	788	999	510	78	15.098	1798433	hypothetical protein A2V93_01655 [Ignavibacteria bacterium RBG_16_34_14]	Ignavibacteria bacterium RBG_16_34_14	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Ignavibacteriae	Ignavibacteria	unclassified Ignavibacteria										
WP_002851328.1	WP_078063795.1	105	1.95E-19	788	1110	553	77	15.552	1716143	tetratricopeptide repeat protein [Pseudodesulfovibrio indicus]	Pseudodesulfovibrio indicus	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio									
WP_002851328.1	WP_078063795.1	69.6	2.97E-08	788	1110	564	77	14.539	1716143	tetratricopeptide repeat protein [Pseudodesulfovibrio indicus]	Pseudodesulfovibrio indicus	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio									
WP_002851328.1	RKY68970.1	105	1.99E-19	788	1220	606	75	14.521	2053570	hypothetical protein DRQ02_02555 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria												
WP_002851328.1	RKY68970.1	58.4	9.74E-05	788	1220	579	75	14.162	2053570	hypothetical protein DRQ02_02555 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria												
WP_002851328.1	RKY68970.1	54.9	0.001	788	1220	436	75	11.009	2053570	hypothetical protein DRQ02_02555 [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria												
WP_002851328.1	AMK12168.1	105	2E-19	788	1094	553	77	15.552	1716143	hypothetical protein AWY79_14145 [Pseudodesulfovibrio indicus]	Pseudodesulfovibrio indicus	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio									
WP_002851328.1	AMK12168.1	69.6	3.09E-08	788	1094	564	77	14.539	1716143	hypothetical protein AWY79_14145 [Pseudodesulfovibrio indicus]	Pseudodesulfovibrio indicus	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio									
WP_002851328.1	WP_098062095.1	105	2.21E-19	788	990	632	76	14.241	1469170	tetratricopeptide repeat protein [Longimonas halophila]	Longimonas halophila	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Longimonas									
WP_002851328.1	WP_098062095.1	82.7	2.78E-12	788	990	333	76	15.015	1469170	tetratricopeptide repeat protein [Longimonas halophila]	Longimonas halophila	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Longimonas									
WP_002851328.1	WP_098062095.1	81.1	9.44E-12	788	990	567	76	14.109	1469170	tetratricopeptide repeat protein [Longimonas halophila]	Longimonas halophila	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Longimonas									
WP_002851328.1	WP_128326974.1	105	2.35E-19	788	1080	652	78	13.65	2283629	tetratricopeptide repeat protein [Pseudodesulfovibrio sp. S3]	Pseudodesulfovibrio sp. S3	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Pseudodesulfovibrio									
WP_002851328.1	WP_069857449.1	105	2.51E-19	788	957	548	66	15.146	1592317	tetratricopeptide repeat protein [Desulfoplanes formicivorans]	Desulfoplanes formicivorans	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfoplanes									
WP_002851328.1	RLB20212.1	104	2.78E-19	788	835	683	83	13.763	2026735	hypothetical protein DRG71_10070, partial [Deltaproteobacteria bacterium]	Deltaproteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)										
WP_002851328.1	GAU07952.1	104	2.82E-19	788	953	548	66	15.146	1592317	tetratricopeptide domain-containing protein [Desulfoplanes formicivorans]	Desulfoplanes formicivorans	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfoplanes									
WP_002851328.1	RLB18059.1	104	4.28E-19	788	957	633	77	15.482	2026735	hypothetical protein DRG63_02870, partial [Deltaproteobacteria bacterium]	Deltaproteobacteria bacterium	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	unclassified Deltaproteobacteria	unclassified Deltaproteobacteria (miscellaneous)										
WP_002851328.1	RKY72912.1	104	5.33E-19	788	881	606	74	14.356	2053570	hypothetical protein DRQ24_03830, partial [Candidatus Latescibacteria bacterium]	Candidatus Latescibacteria bacterium	cellular organisms	Bacteria	FCB group	Candidatus Latescibacteria	unclassified Candidatus Latescibacteria												
WP_002851328.1	TET08855.1	104	6.14E-19	788	936	573	77	15.532	2030807	tetratricopeptide repeat protein [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	TET08855.1	77.3	1.18E-10	788	936	468	77	13.889	2030807	tetratricopeptide repeat protein [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	TET08855.1	75.7	3.87E-10	788	936	598	77	14.883	2030807	tetratricopeptide repeat protein [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	TET08855.1	67.6	1.28E-07	788	936	481	77	12.266	2030807	tetratricopeptide repeat protein [Candidatus Aerophobetes bacterium]	Candidatus Aerophobetes bacterium	cellular organisms	Bacteria	unclassified Bacteria	Bacteria candidate phyla	Candidatus Aerophobetes	unclassified Aerophobetes											
WP_002851328.1	WP_015336473.1	104	6.66E-19	788	1124	605	73	16.033	191026;1121451	tetratricopeptide repeat protein [Desulfovibrio hydrothermalis]	Desulfovibrio hydrothermalis	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio									
WP_002851328.1	WP_092119215.1	103	7.7E-19	788	1078	608	72	14.309	617002	tetratricopeptide repeat protein [Desulfonatronum thiosulfatophilum]	Desulfonatronum thiosulfatophilum	cellular organisms	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfovibrionales	Desulfonatronaceae	Desulfonatronum									
WP_002851328.1	WP_014067151.1	103	8.1E-19	788	1000	645	76	14.574	29549;762570	tetratricopeptide repeat protein [Rhodothermus marinus]	Rhodothermus marinus	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Rhodothermus									
WP_002851328.1	WP_014067151.1	100	7.27E-18	788	1000	613	76	15.171	29549;762570	tetratricopeptide repeat protein [Rhodothermus marinus]	Rhodothermus marinus	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Rhodothermus									
WP_002851328.1	WP_014067151.1	77.3	1.39E-10	788	1000	357	76	15.966	29549;762570	tetratricopeptide repeat protein [Rhodothermus marinus]	Rhodothermus marinus	cellular organisms	Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Bacteroidetes Order II. Incertae sedis	Rhodothermaceae	Rhodothermus									
